2026-05-20 11:34:17:3968	Application started
2026-05-20 11:35:57:0192	Switched to parameter configuration view
2026-05-20 11:36:12:9133	Switched to parameter configuration view
2026-05-20 11:39:52:5247	Selected solution: D:\xcm\Test\相机拍与输出（无数据输出）.sol
2026-05-20 11:40:07:6236	Loading solution succeeded!
2026-05-20 11:40:10:5750	Selected [OCR识别] succeeded!
2026-05-20 11:40:26:9430	Succeeded to save solution!
2026-05-20 11:40:29:4012	Run once triggered
2026-05-20 11:40:29:4171	Failed to get results, Error code: 0x0
2026-05-20 11:40:29:4216	End Run!
2026-05-20 11:40:33:7575	Run once triggered
2026-05-20 11:40:33:7589	Failed to get results, Error code: 0x0
2026-05-20 11:40:33:7599	End Run!
2026-05-20 11:40:35:5633	Run once triggered
2026-05-20 11:40:35:5643	Failed to get results, Error code: 0x0
2026-05-20 11:40:35:5643	End Run!
2026-05-20 11:41:10:3059	Selected [流程1] succeeded!
2026-05-20 11:41:12:3754	Selected [OCR识别] succeeded!
2026-05-20 11:41:33:4497	Run once triggered
2026-05-20 11:41:33:4507	Failed to get results, Error code: 0x0
2026-05-20 11:41:33:4527	End Run!
2026-05-20 11:44:55:4108	Switched to parameter configuration view
2026-05-20 11:45:02:5798	Start continuous run!
2026-05-20 11:45:02:6273	Failed to get results, Error code: 0x0
2026-05-20 11:45:02:8706	Failed to get results, Error code: 0x0
2026-05-20 11:45:03:0778	Failed to get results, Error code: 0x0
2026-05-20 11:45:03:2728	Failed to get results, Error code: 0x0
2026-05-20 11:45:03:4882	Failed to get results, Error code: 0x0
2026-05-20 11:45:03:6852	Failed to get results, Error code: 0x0
2026-05-20 11:45:03:8823	Failed to get results, Error code: 0x0
2026-05-20 11:45:04:0703	Failed to get results, Error code: 0x0
2026-05-20 11:45:04:2712	Failed to get results, Error code: 0x0
2026-05-20 11:45:04:4839	Failed to get results, Error code: 0x0
2026-05-20 11:45:04:6757	Failed to get results, Error code: 0x0
2026-05-20 11:45:04:9028	Failed to get results, Error code: 0x0
2026-05-20 11:45:05:1127	Failed to get results, Error code: 0x0
2026-05-20 11:45:05:2777	Failed to get results, Error code: 0x0
2026-05-20 11:45:05:5176	Failed to get results, Error code: 0x0
2026-05-20 11:45:05:6551	Failed to get results, Error code: 0x0
2026-05-20 11:45:05:9023	Failed to get results, Error code: 0x0
2026-05-20 11:45:06:0659	Failed to get results, Error code: 0x0
