2026-05-26 13:41:33.388 INFO  [18340] [CServerManager::PrintLog@36267] ======================================== 4.2.0 build Sep  6 2022 10:18:34 Start Print Log ========================================

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::SM_Init@497] SDK: InitHeartPair success.

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::InitReq@24103] start

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::DeInitReq@24353] start

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::UnRegisterModule@24777] start

2026-05-26 13:41:33.900 WARN  [18340] [CServerManager::UnRegisterModule@24780] SDK: m_hCommunicationReq is NULL.

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::NotifyServerDestroy4Export@12373] start

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::NotifyServerDestroy4Export@12389] end

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::DeInitReq@24378] end

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::InitReq@24160] Bind address:[tcp://127.0.0.1:61241]

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::InitReq@24164] Bind address:[tcp://127.0.0.1:61241], nRet:[0]

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::InitReq@24168] SetSocketOpt, nRet:[0]

2026-05-26 13:41:33.900 INFO  [18340] [CServerManager::InitReq@24172] SetSocketOpt, nRet:[0]

2026-05-26 13:41:33.902 INFO  [18340] [CServerManager::InitReq@24248] SDK:Connect addr:[tcp://127.0.0.1:5556], nRet:[0]

2026-05-26 13:41:33.902 INFO  [18340] [CServerManager::InitReq@24258] SDK: Connect to vmserver rep[tcp://127.0.0.1:5556]

2026-05-26 13:41:33.902 INFO  [18340] [CServerManager::GetProxyRegisterState@23292] start.

2026-05-26 13:41:33.902 INFO  [18340] [CServerManager::GetProxyRegisterState@23364] end.

2026-05-26 13:41:33.902 INFO  [18340] [CServerManager::RegisterModule@24521] start

2026-05-26 13:41:33.902 INFO  [18340] [CServerManager::GetProcessDirectoryById@34481] SDK: Process path:[C:\Program Files\VisionMaster4.2.0\Applications\Server]

2026-05-26 13:41:33.902 INFO  [18340] [CServerManager::RegisterModule@24590] SDK: Register RepAddress:[]; Proxy pub address:[tcp://0.0.0.0:65072]

2026-05-26 13:41:33.902 INFO  [18340] [CServerManager::RegisterModule@24592] SDK: Register info. ClientType:[1]; GUID:[127.0.0.1:12EE128EDD864C459FE44B7B2DCA9E29]

2026-05-26 13:41:33.916 INFO  [18340] [CServerManager::RegisterModule@24766] end

2026-05-26 13:41:33.916 INFO  [18340] [CServerManager::InitReq@24342] end

2026-05-26 13:41:33.916 INFO  [18340] [CServerManager::SM_Init@506] SDK: InitReq success.

